ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-baka1274-1-seven-1	numerals-baka1274-1	Chan2019	seven	7	ìɲidɔ̀à ɡ͡bʀ͡ʙɛ̀	inidoagbrbe	( 5, on it 2 )	FALSE	5+{LIG}2		
numerals-baka1274-1-eight-1	numerals-baka1274-1	Chan2019	eight	8	ìɲidɔ̀à ɔ̀tà	inidoaota	( 5, on it 3 )	FALSE	5+{LIG}3		
numerals-baka1274-1-nine-1	numerals-baka1274-1	Chan2019	nine	9	ìɲidɔ̀à ɛ̀sɔ̀	inidoaeso	( 5, on it 4 )	FALSE	5+{LIG}4		
numerals-baka1274-1-ten-1	numerals-baka1274-1	Chan2019	ten	10	sɔ̀kɔ́	soko		FALSE	10		
numerals-baka1274-1-eleven-1	numerals-baka1274-1	Chan2019	eleven	11	sɔ̀kɔ́ dɔ̀à kéɽí	sokodoakeri		FALSE	10+{LIG}1'		
numerals-baka1274-1-twelve-1	numerals-baka1274-1	Chan2019	twelve	12	sɔ̀kɔ́ dɔ̀à ɡ͡bʀ͡ʙɛ̀	sokodoagbrbe		FALSE	10+{LIG}2		
numerals-baka1274-1-thirteen-1	numerals-baka1274-1	Chan2019	thirteen	13	sɔ̀kɔ́ dɔ̀à ɔ̀tà	sokodoaota		FALSE	10+{LIG}3		
numerals-baka1274-1-fourteen-1	numerals-baka1274-1	Chan2019	fourteen	14	sɔ̀kɔ́ dɔ̀à ɛ̀sɔ̀	sokodoaeso		FALSE	10+{LIG}4		
numerals-baka1274-1-fifteen-1	numerals-baka1274-1	Chan2019	fifteen	15	sɔ̀kɔ́ dɔ̀à ìɲi	sokodoaini		FALSE	10+{LIG}5		
numerals-baka1274-1-sixteen-1	numerals-baka1274-1	Chan2019	sixteen	16	sɔ̀kɔ́ dɔ̀à ìɲidɔ̀à kéɽí	sokodoainidoakeri		FALSE	10		
numerals-baka1274-1-seventeen-1	numerals-baka1274-1	Chan2019	seventeen	17	sɔ̀kɔ́ dɔ̀à ìɲidɔ̀à ɡ͡bʀ͡ʙɛ̀	sokodoainidoagbrbe		FALSE	10+{LIG}1		
numerals-baka1274-1-eighteen-1	numerals-baka1274-1	Chan2019	eighteen	18	sɔ̀kɔ́ dɔ̀à ìɲidɔ̀à ɔ̀tà	sokodoainidoaota		FALSE	10+{LIG}2		
numerals-baka1274-1-nineteen-1	numerals-baka1274-1	Chan2019	nineteen	19	sɔ̀kɔ́ dɔ̀à ìɲidɔ̀à ɛ̀sɔ̀	sokodoainidoaeso		FALSE	10+{LIG}3		
numerals-baka1274-1-twenty-1	numerals-baka1274-1	Chan2019	twenty	20	cí kéɽíà	cikeria		FALSE	10·2		
numerals-baka1274-1-twentyone-1	numerals-baka1274-1	Chan2019	twentyone	21	cí kéɽíà dɔ̀à kéɽí	cikeriadoakeri		FALSE	(10·2)+{LIG}1		
numerals-baka1274-1-twentytwo-1	numerals-baka1274-1	Chan2019	twentytwo	22	cí kéɽíà dɔ̀à ɡ͡bʀ͡ʙɛ̀	cikeriadoagbrbe		FALSE	(10·2)+{LIG}2		
numerals-baka1274-1-twentythree-1	numerals-baka1274-1	Chan2019	twentythree	23	cí kéɽíà dɔ̀à ɔ̀tà	cikeriadoaota		FALSE	(10·2)+{LIG}3		
numerals-baka1274-1-twentyfour-1	numerals-baka1274-1	Chan2019	twentyfour	24	cí kéɽíà dɔ̀à ɛ̀sɔ̀	cikeriadoaeso		FALSE	(10·2)+{LIG}4		
numerals-baka1274-1-twentyfive-1	numerals-baka1274-1	Chan2019	twentyfive	25	cí kéɽíà dɔ̀à ìɲi	cikeriadoaini		FALSE	(10·2)+{LIG}5		
numerals-baka1274-1-twentysix-1	numerals-baka1274-1	Chan2019	twentysix	26	cí kéɽíà dɔ̀à ìɲi dɔ̀à kéɽí	cikeriadoainidoakeri		FALSE	(10·2)+{LIG}5+{LIG}1		
numerals-baka1274-1-twentyseven-1	numerals-baka1274-1	Chan2019	twentyseven	27	cí kéɽíà dɔ̀à ìɲi dɔ̀à ɡ͡bʀ͡ʙɛ̀	cikeriadoainidoagbrbe		FALSE	(10·2)+{LIG}5+{LIG}2		
numerals-baka1274-1-twentyeight-1	numerals-baka1274-1	Chan2019	twentyeight	28	cí kéɽíà dɔ̀à ìɲi dɔ̀à ɔ̀tà	cikeriadoainidoaota		FALSE	(10·2)+{LIG}5+{LIG}3		
numerals-baka1274-1-twentynine-1	numerals-baka1274-1	Chan2019	twentynine	29	cí kéɽíà dɔ̀à ìɲi dɔ̀à ɛ̀sɔ̀	cikeriadoainidoaeso		FALSE	(10·2)+{LIG}5+{LIG}4		
numerals-baka1274-1-thirty-1	numerals-baka1274-1	Chan2019	thirty	30	cí kéɽíà dɔ̀à sɔ̀kɔ́	cikeriadoasoko	( 20+10 )	FALSE	20+{LIG}10		
