"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work","Gloss.math.with.ones"
"16017",17,"numerals-sout2672-2-seventeen-1","numerals-sout2672-2","Chan2019","seventeen",17,"satuː","satu","","false","7+10′","",NA,"RE-GLOSSED","7+10′","7+10","7+10",1,17,TRUE,"7+10"
"16018",18,"numerals-sout2672-2-eighteen-1","numerals-sout2672-2","Chan2019","eighteen",18,"aʃʈuː","astu","","false","8+10′","",NA,"RE-GLOSSED","8+10′","8+10","8+10",1,18,TRUE,"8+10"
"16019",19,"numerals-sout2672-2-nineteen-1","numerals-sout2672-2","Chan2019","nineteen",19,"nahũː","nahu","","false","9+10′","",NA,"RE-GLOSSED","9+10′","9+10","9+10",1,19,TRUE,"9+10"
"16020",20,"numerals-sout2672-2-nineteen-2","numerals-sout2672-2","Chan2019","nineteen",19,"nahuː","nahu","?","false","9+10′","",NA,"RE-GLOSSED","9+10′","9+10","9+10",1,19,TRUE,"9+10"
"16021",21,"numerals-sout2672-2-twenty-1","numerals-sout2672-2","Chan2019","twenty",20,"wəst","wast","","false","20","historically 2⋅10",NA,"RE-GLOSSED","20","20","20",1,20,TRUE,"20"
"16022",22,"numerals-sout2672-2-twentyone-1","numerals-sout2672-2","Chan2019","twentyone",21,"wəst iː","wasti","","false","20+1","",NA,"RE-GLOSSED","20+1","20+1","20+1",1,21,TRUE,"20+1"
"16023",23,"numerals-sout2672-2-twentytwo-1","numerals-sout2672-2","Chan2019","twentytwo",22,"wist duː","wistdu","","false","20+2","",NA,"RE-GLOSSED","20+2","20+2","20+2",1,22,TRUE,"20+2"
"16024",24,"numerals-sout2672-2-twentythree-1","numerals-sout2672-2","Chan2019","twentythree",23,"wistu heː","wistuhe","","false","20+3","",NA,"RE-GLOSSED","20+3","20+3","20+3",1,23,TRUE,"20+3"
"16025",25,"numerals-sout2672-2-twentyfour-1","numerals-sout2672-2","Chan2019","twentyfour",24,"wistu t͡ʃaːr","wistutsar","","false","20+4","",NA,"RE-GLOSSED","20+4","20+4","20+4",1,24,TRUE,"20+4"
"16026",26,"numerals-sout2672-2-twentyfive-1","numerals-sout2672-2","Chan2019","twentyfive",25,"wistu pajnd͡ʒ","wistupajndz","","false","20+5","",NA,"RE-GLOSSED","20+5","20+5","20+5",1,25,TRUE,"20+5"
"16027",27,"numerals-sout2672-2-twentysix-1","numerals-sout2672-2","Chan2019","twentysix",26,"wistu ʃeː","wistuse","","false","20+6","",NA,"RE-GLOSSED","20+6","20+6","20+6",1,26,TRUE,"20+6"
"16028",28,"numerals-sout2672-2-twentyseven-1","numerals-sout2672-2","Chan2019","twentyseven",27,"wistu sat","wistusat","","false","20+7","",NA,"RE-GLOSSED","20+7","20+7","20+7",1,27,TRUE,"20+7"
"16029",29,"numerals-sout2672-2-twentyeight-1","numerals-sout2672-2","Chan2019","twentyeight",28,"wistu aʃt","wistuast","","false","20+8","",NA,"RE-GLOSSED","20+8","20+8","20+8",1,28,TRUE,"20+8"
"16030",30,"numerals-sout2672-2-twentynine-1","numerals-sout2672-2","Chan2019","twentynine",29,"wistu noː","wistuno","","false","20+9","",NA,"RE-GLOSSED","20+9","20+9","20+9",1,29,TRUE,"20+9"
"16031",31,"numerals-sout2672-2-thirty-1","numerals-sout2672-2","Chan2019","thirty",30,"wistu deː","wistude","(20 + 10)","false","20+10","",NA,"RE-GLOSSED","20+10","20+10","20+10",1,30,TRUE,"20+10"
"16032",32,"numerals-sout2672-2-thirtynine-1","numerals-sout2672-2","Chan2019","thirtynine",39,"wistu hahuː","wistuhahu","","false","20+9+10′","",NA,"RE-GLOSSED","20+9+10′","20+9+10","20+9+10",1,39,TRUE,"20+9+10"
"16033",33,"numerals-sout2672-2-forty-1","numerals-sout2672-2","Chan2019","forty",40,"duːwija","duwija","( 2 x 20)","false","2⋅20′","",NA,"RE-GLOSSED","2⋅20′","2⋅20","abs(2*20)",1,40,TRUE,"2⋅20"
"16034",34,"numerals-sout2672-2-fifty-1","numerals-sout2672-2","Chan2019","fifty",50,"duːwija deː","duwijade","[(2 x 20) + 10 ]","false","(2⋅20′)[+]10","",NA,"RE-GLOSSED","(2⋅20′)[+]10","2⋅20+10","abs(abs(2*20))+10",1,50,TRUE,"(2⋅20)+10"
"16035",35,"numerals-sout2672-2-sixty-1","numerals-sout2672-2","Chan2019","sixty",60,"t͡ʃaːrwija","tsarwija","( 3 x 20)","false","3⋅20′","",NA,"RE-GLOSSED","3⋅20′","3⋅20","abs(3*20)",1,60,TRUE,"3⋅20"
"16036",36,"numerals-sout2672-2-seventy-1","numerals-sout2672-2","Chan2019","seventy",70,"t͡ʃaːrwija deː","tsarwijade","[(3 x 20) + 10]","false","(3⋅20′)[+]10","",NA,"RE-GLOSSED","(3⋅20′)[+]10","3⋅20+10","abs(abs(3*20))+10",1,70,TRUE,"(3⋅20)+10"
"16037",37,"numerals-sout2672-2-eighty-1","numerals-sout2672-2","Chan2019","eighty",80,"t͡ʃaːrwija","tsarwija","( 4 x 20)","false","4⋅20′","",NA,"RE-GLOSSED","4⋅20′","4⋅20","abs(4*20)",1,80,TRUE,"4⋅20"
"16038",38,"numerals-sout2672-2-ninety-1","numerals-sout2672-2","Chan2019","ninety",90,"t͡ʃaːrwija oː deː","tsarwijaode","[(4 x 20) + 10]","false","(4⋅20′)+{+}10","",NA,"RE-GLOSSED","(4⋅20′)+10","4⋅20+10","abs(abs(4*20))+10",1,90,TRUE,"(4⋅20)+10"
"16039",39,"numerals-sout2672-2-hundred-1","numerals-sout2672-2","Chan2019","hundred",100,"pajnd͡ʒuwija","pajndzuwija","( 5 x 20)","false","5⋅20′","",NA,"RE-GLOSSED","5⋅20′","5⋅20","abs(5*20)",1,100,TRUE,"5⋅20"
"16040",40,"numerals-sout2672-2-onehundredandtwenty-1","numerals-sout2672-2","Chan2019","onehundredandtwenty",120,"ʃuwija","suwija","( 6 x 20)","false","6⋅20′","",NA,"RE-GLOSSED","6⋅20′","6⋅20","abs(6*20)",1,120,TRUE,"6⋅20"
"16041",41,"numerals-sout2672-2-twohundred-1","numerals-sout2672-2","Chan2019","twohundred",200,"də saw","dasaw","","false","2[⋅]100′","",NA,"RE-GLOSSED","2[⋅]100′","2⋅100","abs(2*100)",1,200,TRUE,"2⋅100"
"16042",42,"numerals-sout2672-2-thousand-1","numerals-sout2672-2","Chan2019","thousand",1000,"iːhazaːr","ihazar","","false","1[⋅]1000","<hazaːr> ‘thousand’ ultimately borrowed from Iranian branch of Indo-Iranian (Indo-European)",NA,"RE-GLOSSED","1[⋅]1000","1000","abs(1*1000)",1,1000,TRUE,"1000"
"16043",1,"numerals-alas1253-1-one-1","numerals-alas1253-1","Chan2019","one",1,"i:","i","","false","1","","","RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"16044",2,"numerals-alas1253-1-two-1","numerals-alas1253-1","Chan2019","two",2,"do:","do","","false","2","","","RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"16045",3,"numerals-alas1253-1-three-1","numerals-alas1253-1","Chan2019","three",3,"tra","tra","","false","3","","","RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"16046",4,"numerals-alas1253-1-four-1","numerals-alas1253-1","Chan2019","four",4,"t͡ʃaːr","tsar","","false","4","","","RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"16047",5,"numerals-alas1253-1-five-1","numerals-alas1253-1","Chan2019","five",5,"paːnd͡ʒe","pandze","","false","5","","","RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"16048",6,"numerals-alas1253-1-six-1","numerals-alas1253-1","Chan2019","six",6,"ʂe","se","","false","6","","","RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"16049",7,"numerals-alas1253-1-seven-1","numerals-alas1253-1","Chan2019","seven",7,"sa:te","sate","","false","7","","","RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"16050",8,"numerals-alas1253-1-eight-1","numerals-alas1253-1","Chan2019","eight",8,"a:ʂʈe","aste","","false","8","","","RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"16051",9,"numerals-alas1253-1-nine-1","numerals-alas1253-1","Chan2019","nine",9,"na:we","nawe","","false","9","","","RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"16052",10,"numerals-alas1253-1-ten-1","numerals-alas1253-1","Chan2019","ten",10,"da:je","daje","","false","10","","","RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"16053",11,"numerals-alas1253-1-eleven-1","numerals-alas1253-1","Chan2019","eleven",11,"ʒa:i","zai","","false","1′+10′","","11","RE-GLOSSED","1′+10′","1+10","1+10",1,11,TRUE,"1+10"
"16054",12,"numerals-alas1253-1-twelve-1","numerals-alas1253-1","Chan2019","twelve",12,"duwaːi","duwai","","false","2+10′","","","RE-GLOSSED","2+10′","2+10","2+10",1,12,TRUE,"2+10"
"16055",13,"numerals-alas1253-1-thirteen-1","numerals-alas1253-1","Chan2019","thirteen",13,"truːi","trui","","false","3+10′","","","RE-GLOSSED","3+10′","3+10","3+10",1,13,TRUE,"3+10"
"16056",14,"numerals-alas1253-1-fourteen-1","numerals-alas1253-1","Chan2019","fourteen",14,"t͡ʃadaːje","tsadaje","","false","4+10′","","","RE-GLOSSED","4+10′","4+10","4+10",1,14,TRUE,"4+10"
"16057",15,"numerals-alas1253-1-fifteen-1","numerals-alas1253-1","Chan2019","fifteen",15,"pand͡ʒiː","pandzi","","false","5+10′","","","RE-GLOSSED","5+10′","5+10","5+10",1,15,TRUE,"5+10"
"16058",16,"numerals-alas1253-1-sixteen-1","numerals-alas1253-1","Chan2019","sixteen",16,"ʂuːi","sui","","false","6+10′","","","RE-GLOSSED","6+10′","6+10","6+10",1,16,TRUE,"6+10"
"16059",17,"numerals-alas1253-1-seventeen-1","numerals-alas1253-1","Chan2019","seventeen",17,"satiːi","satii","","false","7+10′","","","RE-GLOSSED","7+10′","7+10","7+10",1,17,TRUE,"7+10"
"16060",18,"numerals-alas1253-1-eighteen-1","numerals-alas1253-1","Chan2019","eighteen",18,"aʂʈi:","asti","","false","8+10′","","","RE-GLOSSED","8+10′","8+10","8+10",1,18,TRUE,"8+10"
"16061",19,"numerals-alas1253-1-nineteen-1","numerals-alas1253-1","Chan2019","nineteen",19,"naiː","nai","","false","9+10′","","","RE-GLOSSED","9+10′","9+10","9+10",1,19,TRUE,"9+10"
"16062",20,"numerals-alas1253-1-twenty-1","numerals-alas1253-1","Chan2019","twenty",20,"west","west","","false","20","","","RE-GLOSSED","20","20","20",1,20,TRUE,"20"
"16063",21,"numerals-alas1253-1-twentyone-1","numerals-alas1253-1","Chan2019","twentyone",21,"westu iː","westui","","false","20+1","","","RE-GLOSSED","20+1","20+1","20+1",1,21,TRUE,"20+1"
"16064",22,"numerals-alas1253-1-twentytwo-1","numerals-alas1253-1","Chan2019","twentytwo",22,"westu do:","westudo","","false","20+2","","","RE-GLOSSED","20+2","20+2","20+2",1,22,TRUE,"20+2"
"16065",23,"numerals-alas1253-1-twentythree-1","numerals-alas1253-1","Chan2019","twentythree",23,"westu tra","westutra","","false","20+3","","","RE-GLOSSED","20+3","20+3","20+3",1,23,TRUE,"20+3"
"16066",24,"numerals-alas1253-1-twentyfour-1","numerals-alas1253-1","Chan2019","twentyfour",24,"westu t͡ʃaːr","westutsar","","false","20+4","","","RE-GLOSSED","20+4","20+4","20+4",1,24,TRUE,"20+4"
"16067",25,"numerals-alas1253-1-twentyfive-1","numerals-alas1253-1","Chan2019","twentyfive",25,"westu paːnd͡ʒe","westupandze","","false","20+5","","","RE-GLOSSED","20+5","20+5","20+5",1,25,TRUE,"20+5"
"16068",26,"numerals-alas1253-1-twentysix-1","numerals-alas1253-1","Chan2019","twentysix",26,"westu ʂe","westuse","","false","20+6","","","RE-GLOSSED","20+6","20+6","20+6",1,26,TRUE,"20+6"
"16069",27,"numerals-alas1253-1-twentyseven-1","numerals-alas1253-1","Chan2019","twentyseven",27,"westu sa:te","westusate","","false","20+7","","","RE-GLOSSED","20+7","20+7","20+7",1,27,TRUE,"20+7"
"16070",28,"numerals-alas1253-1-twentyeight-1","numerals-alas1253-1","Chan2019","twentyeight",28,"westu a:ʂʈe","westuaste","","false","20+8","","","RE-GLOSSED","20+8","20+8","20+8",1,28,TRUE,"20+8"
"16071",29,"numerals-alas1253-1-twentynine-1","numerals-alas1253-1","Chan2019","twentynine",29,"westu na:we","westunawe","","false","20+9","","","RE-GLOSSED","20+9","20+9","20+9",1,29,TRUE,"20+9"
"16072",30,"numerals-alas1253-1-thirty-1","numerals-alas1253-1","Chan2019","thirty",30,"si","si","","false","30","historically 3⋅10 (?)","","RE-GLOSSED","30","30","30",1,30,TRUE,"30"
"16073",31,"numerals-alas1253-1-thirtyone-1","numerals-alas1253-1","Chan2019","thirtyone",31,"siː wu iː","siwui","","false","30+{+}1","","","RE-GLOSSED","30+1","30+1","30+1",1,31,TRUE,"30+1"
"16074",32,"numerals-alas1253-1-thirtynine-1","numerals-alas1253-1","Chan2019","thirtynine",39,"siːwu na:we","siwunawe","","false","30+{+}9","","","RE-GLOSSED","30+9","30+9","30+9",1,39,TRUE,"30+9"
"16075",33,"numerals-alas1253-1-forty-1","numerals-alas1253-1","Chan2019","forty",40,"t͡ʃehel","tsehel","","false","40","","4⋅10′′","RE-GLOSSED","40","40","40",1,40,TRUE,"40"
"16076",34,"numerals-alas1253-1-fortyone-1","numerals-alas1253-1","Chan2019","fortyone",41,"t͡ʃehelu iː","tsehelui","","false","40+{+}1","","(4⋅10′′)+{+}1","RE-GLOSSED","40+1","40+1","40+1",1,41,TRUE,"40+1"
"16077",35,"numerals-alas1253-1-fortynine-1","numerals-alas1253-1","Chan2019","fortynine",49,"t͡ʃehelu na:we","tsehelunawe","","false","40+{+}9","","(4⋅10′′)+{+}9","RE-GLOSSED","40+9","40+9","40+9",1,49,TRUE,"40+9"
"16078",36,"numerals-alas1253-1-fifty-1","numerals-alas1253-1","Chan2019","fifty",50,"pind͡ʒɑ","pindza","","false","50","","5⋅10′′′","RE-GLOSSED","50","50","50",1,50,TRUE,"50"
"16079",37,"numerals-alas1253-1-sixty-1","numerals-alas1253-1","Chan2019","sixty",60,"ʃast","sast","","false","60","","6⋅10′′′′","RE-GLOSSED","60","60","60",1,60,TRUE,"60"
"16080",38,"numerals-alas1253-1-seventy-1","numerals-alas1253-1","Chan2019","seventy",70,"aftaːd","aftad","","false","70","","7′⋅10′′′′′","RE-GLOSSED","70","70","70",1,70,TRUE,"70"
"16081",39,"numerals-alas1253-1-eighty-1","numerals-alas1253-1","Chan2019","eighty",80,"aʃtaːd","astad","","false","80","","8⋅10′′′′′","RE-GLOSSED","80","80","80",1,80,TRUE,"80"
"16082",40,"numerals-alas1253-1-ninety-1","numerals-alas1253-1","Chan2019","ninety",90,"nawad","nawad","","false","90","","9⋅10′′′′′","RE-GLOSSED","90","90","90",1,90,TRUE,"90"
"16083",41,"numerals-alas1253-1-hundred-1","numerals-alas1253-1","Chan2019","hundred",100,"ʃaːi","sai","","false","100","","","RE-GLOSSED","100","100","100",1,100,TRUE,"100"
"16084",42,"numerals-alas1253-1-onehundredandtwenty-1","numerals-alas1253-1","Chan2019","onehundredandtwenty",120,"jak sadu west","jaksaduwest","(100 + 20)","false","(1′⋅100′)+20","","","RE-GLOSSED","(1′⋅100′)+20","100+20","abs(abs(1*100))+20",1,120,TRUE,"(100)+20"
"16085",43,"numerals-alas1253-1-twohundred-1","numerals-alas1253-1","Chan2019","twohundred",200,"do sad","dosad","","false","2[⋅]100′","","","RE-GLOSSED","2[⋅]100′","2⋅100","abs(2*100)",1,200,TRUE,"2⋅100"
"16086",44,"numerals-alas1253-1-thousand-1","numerals-alas1253-1","Chan2019","thousand",1000,"iː hazaːr","ihazar","","false","1[⋅]1000","<hazaːr> ‘thousand’ ultimately borrowed from Iranian branch of Indo-Iranian (Indo-European)","","RE-GLOSSED","1[⋅]1000","1000","abs(1*1000)",1,1000,TRUE,"1000"
"16087",1,"numerals-sout2671-1-one-1","numerals-sout2671-1","Chan2019","one",1,"i","i","","false","1","",NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"16088",2,"numerals-sout2671-1-two-1","numerals-sout2671-1","Chan2019","two",2,"do","do","","false","2","",NA,"RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"16089",3,"numerals-sout2671-1-three-1","numerals-sout2671-1","Chan2019","three",3,"tɾa:","tra","","false","3","",NA,"RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"16090",4,"numerals-sout2671-1-four-1","numerals-sout2671-1","Chan2019","four",4,"t͡ʃoːɾ","tsor","","false","4","",NA,"RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"16091",5,"numerals-sout2671-1-five-1","numerals-sout2671-1","Chan2019","five",5,"pant͡ʃ","pants","","false","5","",NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"16092",6,"numerals-sout2671-1-six-1","numerals-sout2671-1","Chan2019","six",6,"ʃaː","sa","","false","6","",NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"16093",7,"numerals-sout2671-1-seven-1","numerals-sout2671-1","Chan2019","seven",7,"sat","sat","","false","7","",NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"16094",8,"numerals-sout2671-1-eight-1","numerals-sout2671-1","Chan2019","eight",8,"aːʃʈ","ast","","false","8","",NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"16095",9,"numerals-sout2671-1-nine-1","numerals-sout2671-1","Chan2019","nine",9,"nəu","nau","","false","9","",NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"16096",10,"numerals-sout2671-1-ten-1","numerals-sout2671-1","Chan2019","ten",10,"daːe","dae","","false","10","",NA,"RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"16097",11,"numerals-sout2671-1-eleven-1","numerals-sout2671-1","Chan2019","eleven",11,"ʒe","ze","","false","1′+10′","",NA,"RE-GLOSSED","1′+10′","1+10","1+10",1,11,TRUE,"1+10"
"16098",12,"numerals-sout2671-1-twelve-1","numerals-sout2671-1","Chan2019","twelve",12,"dwi","dwi","","false","2+10′","",NA,"RE-GLOSSED","2+10′","2+10","2+10",1,12,TRUE,"2+10"
"16099",13,"numerals-sout2671-1-thirteen-1","numerals-sout2671-1","Chan2019","thirteen",13,"tɾi","tri","","false","3+10′","",NA,"RE-GLOSSED","3+10′","3+10","3+10",1,13,TRUE,"3+10"
"16100",14,"numerals-sout2671-1-fourteen-1","numerals-sout2671-1","Chan2019","fourteen",14,"t͡ʃade","tsade","","false","4+10","",NA,"RE-GLOSSED","4+10","4+10","4+10",1,14,TRUE,"4+10"
"16101",15,"numerals-sout2671-1-fifteen-1","numerals-sout2671-1","Chan2019","fifteen",15,"panʒi","panzi","","false","5+10′","",NA,"RE-GLOSSED","5+10′","5+10","5+10",1,15,TRUE,"5+10"
"16102",16,"numerals-sout2671-1-sixteen-1","numerals-sout2671-1","Chan2019","sixteen",16,"ʃwe","swe","","false","6+10′","",NA,"RE-GLOSSED","6+10′","6+10","6+10",1,16,TRUE,"6+10"
"16103",17,"numerals-sout2671-1-seventeen-1","numerals-sout2671-1","Chan2019","seventeen",17,"sati","sati","","false","7+10′","",NA,"RE-GLOSSED","7+10′","7+10","7+10",1,17,TRUE,"7+10"
"16104",19,"numerals-sout2671-1-nineteen-1","numerals-sout2671-1","Chan2019","nineteen",19,"nəwi","nawi","","false","9+10′","",NA,"RE-GLOSSED","9+10′","9+10","9+10",1,19,TRUE,"9+10"
"16105",20,"numerals-sout2671-1-twenty-1","numerals-sout2671-1","Chan2019","twenty",20,"wes","wes","","false","20","historically 2⋅10",NA,"RE-GLOSSED","20","20","20",1,20,TRUE,"20"
"16106",21,"numerals-sout2671-1-thirty-1","numerals-sout2671-1","Chan2019","thirty",30,"westodae","westodae","(20 + 10)","false","20+{+}10","",NA,"RE-GLOSSED","20+10","20+10","20+10",1,30,TRUE,"20+10"
"16107",22,"numerals-sout2671-1-forty-1","numerals-sout2671-1","Chan2019","forty",40,"deu","deu","( 2 x 20)","false","2⋅20′","",NA,"RE-GLOSSED","2⋅20′","2⋅20","abs(2*20)",1,40,TRUE,"2⋅20"
"16108",23,"numerals-sout2671-1-fifty-1","numerals-sout2671-1","Chan2019","fifty",50,"deu dae","deudae","[(2 x 20) + 10]","false","(2⋅20′)[+]10","",NA,"RE-GLOSSED","(2⋅20′)[+]10","2⋅20+10","abs(abs(2*20))+10",1,50,TRUE,"(2⋅20)+10"
"16109",24,"numerals-sout2671-1-sixty-1","numerals-sout2671-1","Chan2019","sixty",60,"tɾaːwea","trawea","( 3 x 20)","false","3⋅20′","",NA,"RE-GLOSSED","3⋅20′","3⋅20","abs(3*20)",1,60,TRUE,"3⋅20"
"16110",25,"numerals-sout2671-1-seventy-1","numerals-sout2671-1","Chan2019","seventy",70,"tɾaːu dae","traudae","[(3 x 20) + 10]","false","(3⋅20′)[+]10","",NA,"RE-GLOSSED","(3⋅20′)[+]10","3⋅20+10","abs(abs(3*20))+10",1,70,TRUE,"(3⋅20)+10"
"16111",26,"numerals-sout2671-1-eighty-1","numerals-sout2671-1","Chan2019","eighty",80,"t͡ʃuɾu","tsuru","( 4 x 20)","false","4⋅20′","",NA,"RE-GLOSSED","4⋅20′","4⋅20","abs(4*20)",1,80,TRUE,"4⋅20"
"16112",27,"numerals-sout2671-1-ninety-1","numerals-sout2671-1","Chan2019","ninety",90,"naːo yu","naoyu","","false","9⋅10′′","",NA,"RE-GLOSSED","9⋅10′′","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"16113",1,"googleuninum-san-zero-1","googleuninum-san","Ritchie2019","zero",0,"शून्यम्","shuunym",NA,NA,"0","","","RE-GLOSSED","0","0","0",1,0,TRUE,"0"
"16114",2,"googleuninum-san-one-1","googleuninum-san","Ritchie2019","one",1,"एकम्","ekm",NA,NA,"1","","","RE-GLOSSED","1","1","1",1,1,TRUE,"1"
"16115",3,"googleuninum-san-two-1","googleuninum-san","Ritchie2019","two",2,"द्वे","dve",NA,NA,"2","","","RE-GLOSSED","2","2","2",1,2,TRUE,"2"
"16116",4,"googleuninum-san-three-1","googleuninum-san","Ritchie2019","three",3,"त्रीणि","triinni",NA,NA,"3","","","RE-GLOSSED","3","3","3",1,3,TRUE,"3"
"16117",5,"googleuninum-san-four-1","googleuninum-san","Ritchie2019","four",4,"चत्वारि","ctvaari",NA,NA,"4","","","RE-GLOSSED","4","4","4",1,4,TRUE,"4"
"16118",6,"googleuninum-san-five-1","googleuninum-san","Ritchie2019","five",5,"पञ्च","pnyc",NA,NA,"5","","","RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"16119",7,"googleuninum-san-six-1","googleuninum-san","Ritchie2019","six",6,"षट्","sstt",NA,NA,"6","","","RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"16120",8,"googleuninum-san-seven-1","googleuninum-san","Ritchie2019","seven",7,"सप्त","spt",NA,NA,"7","","","RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"16121",9,"googleuninum-san-eight-1","googleuninum-san","Ritchie2019","eight",8,"अष्ट","asstt",NA,NA,"8","","","RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"16122",10,"googleuninum-san-nine-1","googleuninum-san","Ritchie2019","nine",9,"नव","nv",NA,NA,"9","","","RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"16123",11,"googleuninum-san-ten-1","googleuninum-san","Ritchie2019","ten",10,"दश","dsh",NA,NA,"10","","","RE-GLOSSED","10","10","10",1,10,TRUE,"10"
"16124",12,"googleuninum-san-eleven-1","googleuninum-san","Ritchie2019","eleven",11,"एका दश","ekaadsh",NA,NA,"1+10","","","RE-GLOSSED","1+10","1+10","1+10",1,11,TRUE,"1+10"
"16125",13,"googleuninum-san-twelve-1","googleuninum-san","Ritchie2019","twelve",12,"द्वा दश","dvaadsh",NA,NA,"2+10","","","RE-GLOSSED","2+10","2+10","2+10",1,12,TRUE,"2+10"
"16126",14,"googleuninum-san-thirteen-1","googleuninum-san","Ritchie2019","thirteen",13,"त्रयो दश","tryodsh",NA,NA,"3+10","","","RE-GLOSSED","3+10","3+10","3+10",1,13,TRUE,"3+10"
"16127",15,"googleuninum-san-fourteen-1","googleuninum-san","Ritchie2019","fourteen",14,"चतुर् दश","cturdsh",NA,NA,"4+10","","","RE-GLOSSED","4+10","4+10","4+10",1,14,TRUE,"4+10"
"16128",16,"googleuninum-san-fifteen-1","googleuninum-san","Ritchie2019","fifteen",15,"पञ्च दश","pnycdsh",NA,NA,"5+10","","","RE-GLOSSED","5+10","5+10","5+10",1,15,TRUE,"5+10"
"16129",17,"googleuninum-san-sixteen-1","googleuninum-san","Ritchie2019","sixteen",16,"षोड् दश","ssodddsh",NA,NA,"6+10","","","RE-GLOSSED","6+10","6+10","6+10",1,16,TRUE,"6+10"
"16130",18,"googleuninum-san-seventeen-1","googleuninum-san","Ritchie2019","seventeen",17,"सप्त दश","sptdsh",NA,NA,"7+10","","","RE-GLOSSED","7+10","7+10","7+10",1,17,TRUE,"7+10"
"16131",19,"googleuninum-san-eighteen-1","googleuninum-san","Ritchie2019","eighteen",18,"अष्टा दश","assttaadsh",NA,NA,"8+10","","","RE-GLOSSED","8+10","8+10","8+10",1,18,TRUE,"8+10"
"16132",20,"googleuninum-san-nineteen-1","googleuninum-san","Ritchie2019","nineteen",19,"नव दश","nvdsh",NA,NA,"9+10","","","RE-GLOSSED","9+10","9+10","9+10",1,19,TRUE,"9+10"
"16133",21,"googleuninum-san-twenty-1","googleuninum-san","Ritchie2019","twenty",20,"विंशतिः","vinshtih",NA,NA,"2′⋅10′","","20","RE-GLOSSED","2′⋅10′","2⋅10","abs(2*10)",1,20,TRUE,"2⋅10"
"16134",22,"googleuninum-san-twentyone-1","googleuninum-san","Ritchie2019","twentyone",21,"एक विंशतिः","ekvinshtih",NA,NA,"1+(2′⋅10′)","","1+20","RE-GLOSSED","1+(2′⋅10′)","1+2⋅10","1+abs(abs(2*10))",1,21,TRUE,"1+(2⋅10)"
"16135",23,"googleuninum-san-twentytwo-1","googleuninum-san","Ritchie2019","twentytwo",22,"द्वा विंशतिः","dvaavinshtih",NA,NA,"2+(2′⋅10′)","","2+20","RE-GLOSSED","2+(2′⋅10′)","2+2⋅10","2+abs(abs(2*10))",1,22,TRUE,"2+(2⋅10)"
"16136",24,"googleuninum-san-twentythree-1","googleuninum-san","Ritchie2019","twentythree",23,"त्रयो विंशतिः","tryovinshtih",NA,NA,"3+(2′⋅10′)","","3+20","RE-GLOSSED","3+(2′⋅10′)","3+2⋅10","3+abs(abs(2*10))",1,23,TRUE,"3+(2⋅10)"
"16137",25,"googleuninum-san-twentyfour-1","googleuninum-san","Ritchie2019","twentyfour",24,"चतुर् विंशतिः","cturvinshtih",NA,NA,"4+(2′⋅10′)","","4+20","RE-GLOSSED","4+(2′⋅10′)","4+2⋅10","4+abs(abs(2*10))",1,24,TRUE,"4+(2⋅10)"
"16138",26,"googleuninum-san-twentyfive-1","googleuninum-san","Ritchie2019","twentyfive",25,"पञ्च विंशतिः","pnycvinshtih",NA,NA,"5+(2′⋅10′)","","5+20","RE-GLOSSED","5+(2′⋅10′)","5+2⋅10","5+abs(abs(2*10))",1,25,TRUE,"5+(2⋅10)"
"16139",27,"googleuninum-san-twentysix-1","googleuninum-san","Ritchie2019","twentysix",26,"षड् विंशतिः","ssddvinshtih",NA,NA,"6+(2′⋅10′)","","6+20","RE-GLOSSED","6+(2′⋅10′)","6+2⋅10","6+abs(abs(2*10))",1,26,TRUE,"6+(2⋅10)"
