"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"58",23,"sand-Sampang-twentythree-1","sand-Sampang","Mamta2023","twentythree",23,"his-sum","hissum",NA,NA,"(2[⋅10])[+]1","",NA,"RE-GLOSSED","(2[⋅10])[+]1","(2⋅10)+1","abs(abs(2*10))+1",1,21,FALSE
"59",24,"sand-Sampang-twentyfour-1","sand-Sampang","Mamta2023","twentyfour",24,"his-lə̃k","hislak",NA,NA,"(2[⋅10])[+]1","",NA,"RE-GLOSSED","(2[⋅10])[+]1","(2⋅10)+1","abs(abs(2*10))+1",1,21,FALSE
"60",25,"sand-Sampang-twentyfive-1","sand-Sampang","Mamta2023","twentyfive",25,"his-nə̃k","hisnak",NA,NA,"(2[⋅10])[+]1","",NA,"RE-GLOSSED","(2[⋅10])[+]1","(2⋅10)+1","abs(abs(2*10))+1",1,21,FALSE
"61",26,"sand-Sampang-twentysix-1","sand-Sampang","Mamta2023","twentysix",26,"his-tsuk","histsuk",NA,NA,"(2[⋅10])[+]1","",NA,"RE-GLOSSED","(2[⋅10])[+]1","(2⋅10)+1","abs(abs(2*10))+1",1,21,FALSE
"62",27,"sand-Sampang-twentyseven-1","sand-Sampang","Mamta2023","twentyseven",27,"his-sa","hissa",NA,NA,"(2[⋅10])[+]1","",NA,"RE-GLOSSED","(2[⋅10])[+]1","(2⋅10)+1","abs(abs(2*10))+1",1,21,FALSE
"63",28,"sand-Sampang-twentyeight-1","sand-Sampang","Mamta2023","twentyeight",28,"his-rek","hisrek",NA,NA,"(2[⋅10])[+]1","",NA,"RE-GLOSSED","(2[⋅10])[+]1","(2⋅10)+1","abs(abs(2*10))+1",1,21,FALSE
"64",29,"sand-Sampang-twentynine-1","sand-Sampang","Mamta2023","twentynine",29,"his-ŋǝk","hisngak",NA,NA,"(2[⋅10])[+]1","",NA,"RE-GLOSSED","(2[⋅10])[+]1","(2⋅10)+1","abs(abs(2*10))+1",1,21,FALSE
"65",42,"sand-Sampang-fortytwo-1","sand-Sampang","Mamta2023","fortytwo",42,"lə̃k-his","lakhis",NA,NA,"(4[⋅10])[+]1","",NA,"RE-GLOSSED","(4[⋅10])[+]1","(4⋅10)+1","abs(abs(4*10))+1",1,41,FALSE
"66",43,"sand-Sampang-fortythree-1","sand-Sampang","Mamta2023","fortythree",43,"lə̃k-sum","laksum",NA,NA,"(4[⋅10])[+]1","",NA,"RE-GLOSSED","(4[⋅10])[+]1","(4⋅10)+1","abs(abs(4*10))+1",1,41,FALSE
"67",44,"sand-Sampang-fortyfour-1","sand-Sampang","Mamta2023","fortyfour",44,"lə̃k-lə̃k","laklak",NA,NA,"(4[⋅10])[+]1","",NA,"RE-GLOSSED","(4[⋅10])[+]1","(4⋅10)+1","abs(abs(4*10))+1",1,41,FALSE
