"","NumberValue","Gloss.math","n","prop","number.strategies"
"319","16","4⋅4",5,0.00148588410104012,40
"320","16","5+1+10",3,0.000891530460624071,40
"321","16","5+10+1",5,0.00148588410104012,40
"322","16","5+5+2+2+2",1,0.000297176820208024,40
"323","16","5+5+5+1",34,0.0101040118870728,40
"324","16","5⋅(2+3)+1",1,0.000297176820208024,40
"325","16","5⋅2+1+5",1,0.000297176820208024,40
"326","16","5⋅2+3⋅2",1,0.000297176820208024,40
"327","16","5⋅2+5+1",90,0.0267459138187221,40
"328","16","5⋅2+6",1,0.000297176820208024,40
"329","16","5⋅3+1",22,0.00653789004457652,40
"330","16","6+10",536,0.159286775631501,40
"331","16","8+2+4+2",1,0.000297176820208024,40
"332","160","(5+3)⋅20",1,0.25,4
"333","160","20⋅8",1,0.25,4
"334","160","2⋅80",1,0.25,4
"335","160","40⋅4",1,0.25,4
"336","17","(2−1)⋅10+7",1,0.000298507462686567,56
"337","17","(3−10)+10",2,0.000597014925373134,56
"338","17","1+16",1,0.000298507462686567,56
"339","17","10+(10−3)",18,0.00537313432835821,56
"340","17","10+(1−2⋅4)",1,0.000298507462686567,56
"341","17","10+(1−8)",3,0.000895522388059702,56
"342","17","10+(2⋅3+1)",2,0.000597014925373134,56
"343","17","10+(3−10)",1,0.000298507462686567,56
"344","17","10+(3⋅2+1)",3,0.000895522388059702,56
"345","17","10++5+2",3,0.000895522388059702,56
"346","17","10+10−3",3,0.000895522388059702,56
"347","17","10+1−8",2,0.000597014925373134,56
"348","17","10+2+5",47,0.0140298507462687,56
"349","17","10+2⋅3+1",3,0.000895522388059702,56
"350","17","10+3+3+1",3,0.000895522388059702,56
"351","17","10+3+4",3,0.000895522388059702,56
"352","17","10+3+5−1",1,0.000298507462686567,56
"353","17","10+3⋅2+1",1,0.000298507462686567,56
"354","17","10+4+1+2",1,0.000298507462686567,56
"355","17","10+4+3",12,0.00358208955223881,56
"356","17","10+4⋅2−1",1,0.000298507462686567,56
"357","17","10+5+2",543,0.162089552238806,56
"358","17","10+6+1",38,0.0113432835820896,56
"359","17","10+7",1824,0.544477611940299,56
"360","17","12+5",8,0.00238805970149254,56
"361","17","14+3",1,0.000298507462686567,56
"362","17","15+2",82,0.0244776119402985,56
"363","17","16+1",3,0.000895522388059702,56
"364","17","17",1,0.000298507462686567,56
"365","17","2+10+5",2,0.000597014925373134,56
"366","17","2+15",7,0.00208955223880597,56
"367","17","2+2+2+2+2+2+2+2+1",2,0.000597014925373134,56
"368","17","2+5+10",13,0.00388059701492537,56
"369","17","20−3",1,0.000298507462686567,56
"370","17","20−4+1",2,0.000597014925373134,56
"371","17","2⋅5+1+6",1,0.000298507462686567,56
"372","17","2⋅5+2+5",3,0.000895522388059702,56
"373","17","2⋅5+5+2",32,0.00955223880597015,56
"374","17","2⋅5+7",3,0.000895522388059702,56
"375","17","2⋅6+2+2+1",1,0.000298507462686567,56
"376","17","2⋅8+1",1,0.000298507462686567,56
"377","17","3+4+10",2,0.000597014925373134,56
"378","17","3−20",6,0.0017910447761194,56
"379","17","3⋅5+2",11,0.00328358208955224,56
"380","17","4⋅4+1",5,0.00149253731343284,56
"381","17","5+10+2",4,0.00119402985074627,56
"382","17","5+2+10",5,0.00149253731343284,56
"383","17","5+5+2+2+2+1",1,0.000298507462686567,56
"384","17","5+5+5+2",31,0.00925373134328358,56
"385","17","5⋅(2+3)+2",1,0.000298507462686567,56
"386","17","5⋅2+5+2",84,0.0250746268656716,56
"387","17","5⋅2+6+1",1,0.000298507462686567,56
"388","17","5⋅2+7",1,0.000298507462686567,56
"389","17","5⋅3+2",23,0.00686567164179105,56
"390","17","7+10",494,0.147462686567164,56
"391","17","8+2+4+3",1,0.000298507462686567,56
"392","18","(2+1)⋅6",1,0.000296120817293456,71
"393","18","(2−1)⋅10+8",1,0.000296120817293456,71
"394","18","(2−10)+10",8,0.00236896653834765,71
"395","18","1+17",1,0.000296120817293456,71
"396","18","10+(10−2)",45,0.0133254367782055,71
"397","18","10+(2−10)",28,0.00829138288421676,71
"398","18","10+1+7",6,0.00177672490376073,71
"399","18","10+10−2",10,0.00296120817293456,71
"400","18","10+2−10",5,0.00148060408646728,71
"401","18","10+2⋅2⋅2",3,0.000888362451880367,71
"402","18","10+2⋅4",47,0.0139176784127924,71
"403","18","10+3+3+2",1,0.000296120817293456,71
"404","18","10+3+5",40,0.0118448326917382,71
"405","18","10+4+1+3",1,0.000296120817293456,71
"406","18","10+4+4",102,0.0302043233639325,71
"407","18","10+4⋅2",14,0.00414569144210838,71
"408","18","10+5+(2−5)",1,0.000296120817293456,71
"409","18","10+5+1+2",1,0.000296120817293456,71
"410","18","10+5+2+1",7,0.00207284572105419,71
"411","18","10+5+3",446,0.132069884512881,71
"412","18","10+6+2",9,0.0026650873556411,71
"413","18","10+8",1749,0.517915309446254,71
"414","18","10⋅2−2",2,0.000592241634586911,71
"415","18","12+5+1",3,0.000888362451880367,71
"416","18","12+6",5,0.00148060408646728,71
"417","18","14+4",1,0.000296120817293456,71
"418","18","15+2+1",2,0.000592241634586911,71
"419","18","15+3",77,0.0228013029315961,71
"420","18","16+2",2,0.000592241634586911,71
"421","18","17+1",1,0.000296120817293456,71
"422","18","18",1,0.000296120817293456,71
"423","18","2+2+2+2+2+2+2+2+2",2,0.000592241634586911,71
"424","18","20−2",5,0.00148060408646728,71
"425","18","20−4+2",2,0.000592241634586911,71
"426","18","24−6",1,0.000296120817293456,71
"427","18","2−10+10",5,0.00148060408646728,71
"428","18","2−20",9,0.0026650873556411,71
"429","18","2−2⋅10",1,0.000296120817293456,71
"430","18","2⋅4+10",10,0.00296120817293456,71
"431","18","2⋅5+2⋅4",2,0.000592241634586911,71
"432","18","2⋅5+3+5",3,0.000888362451880367,71
"433","18","2⋅5+5+(2⋅2−1)",1,0.000296120817293456,71
"434","18","2⋅5+5+1+2",1,0.000296120817293456,71
"435","18","2⋅5+5+2+1",4,0.00118448326917382,71
"436","18","2⋅5+5+3",26,0.00769914124962985,71
"437","18","2⋅5+8",2,0.000592241634586911,71
"438","18","2⋅8+2",1,0.000296120817293456,71
"439","18","2⋅9",1,0.000296120817293456,71
"440","18","3+10+5",2,0.000592241634586911,71
"441","18","3+15",7,0.00207284572105419,71
"442","18","3+5+10",8,0.00236896653834765,71
"443","18","3⋅5+1+2",1,0.000296120817293456,71
"444","18","3⋅5+3",11,0.00325732899022801,71
"445","18","3⋅6",2,0.000592241634586911,71
"446","18","4⋅4+2",5,0.00148060408646728,71
"447","18","5+10+2+1",2,0.000592241634586911,71
"448","18","5+10+3",2,0.000592241634586911,71
"449","18","5+3+10",4,0.00118448326917382,71
"450","18","5+5+2+2+2+2",1,0.000296120817293456,71
"451","18","5+5+5+(5−2)",1,0.000296120817293456,71
"452","18","5+5+5+2+1",10,0.00296120817293456,71
"453","18","5+5+5+3",20,0.00592241634586911,71
"454","18","5⋅(2+3)+2+1",1,0.000296120817293456,71
"455","18","5⋅2+4⋅2",1,0.000296120817293456,71
"456","18","5⋅2+5+2+1",31,0.00917974533609713,71
"457","18","5⋅2+5+3",54,0.0159905241338466,71
"458","18","5⋅2+6+2",1,0.000296120817293456,71
"459","18","5⋅3+3",22,0.00651465798045603,71
"460","18","8+(2−1)⋅10",1,0.000296120817293456,71
"461","18","8+10",493,0.145987562925674,71
"462","18","8+2+8",1,0.000296120817293456,71
"463","180","100+(8⋅10)",3,0.0833333333333333,9
"464","180","100+10⋅8",11,0.305555555555556,9
"465","180","100+20⋅4",3,0.0833333333333333,9
"466","180","100+8⋅10",12,0.333333333333333,9
"467","180","100+8⋅10+0",1,0.0277777777777778,9
"468","180","100⋅1+8⋅10",3,0.0833333333333333,9
"469","180","10⋅10+8⋅10",1,0.0277777777777778,9
"470","180","20⋅(8+1)",1,0.0277777777777778,9
"471","180","60⋅3",1,0.0277777777777778,9
"472","19","(1−10)+10",12,0.00355555555555556,82
"473","19","(2+1)⋅6+1",1,0.000296296296296296,82
"474","19","(24−6)+1",1,0.000296296296296296,82
"475","19","(2−1)⋅10+9",1,0.000296296296296296,82
"476","19","10+(10−1)",75,0.0222222222222222,82
"477","19","10+(1−10)",77,0.0228148148148148,82
"478","19","10+(2⋅4+1)",1,0.000296296296296296,82
"479","19","10+(4⋅2+1)",3,0.000888888888888889,82
"480","19","10+10−1",33,0.00977777777777778,82
"481","19","10+1−10",16,0.00474074074074074,82
"482","19","10+2+7",5,0.00148148148148148,82
"483","19","10+2⋅2+5",1,0.000296296296296296,82
"484","19","10+2⋅4+1",6,0.00177777777777778,82
"485","19","10+3+3+3",1,0.000296296296296296,82
"486","19","10+3⋅3",3,0.000888888888888889,82
"487","19","10+4+1+4",1,0.000296296296296296,82
"488","19","10+4+5",27,0.008,82
"489","19","10+4⋅2+1",1,0.000296296296296296,82
"490","19","10+5+(1−5)",3,0.000888888888888889,82
"491","19","10+5+2+2",7,0.00207407407407407,82
"492","19","10+5+2⋅2",1,0.000296296296296296,82
"493","19","10+5+3+1",1,0.000296296296296296,82
"494","19","10+5+4",424,0.12562962962963,82
"495","19","10+6+2+1",1,0.000296296296296296,82
"496","19","10+8+1",10,0.00296296296296296,82
"497","19","10+9",1814,0.537481481481481,82
"498","19","10⋅2−1",3,0.000888888888888889,82
"499","19","12+5+2",2,0.000592592592592593,82
"500","19","12+5+3−1",1,0.000296296296296296,82
"501","19","12+7",5,0.00148148148148148,82
"502","19","14+5",1,0.000296296296296296,82
"503","19","15+2⋅2",1,0.000296296296296296,82
"504","19","15+4",70,0.0207407407407407,82
"505","19","16+3",2,0.000592592592592593,82
"506","19","18+1",1,0.000296296296296296,82
"507","19","19",8,0.00237037037037037,82
"508","19","1−10+10",10,0.00296296296296296,82
"509","19","1−20",19,0.00562962962962963,82
"510","19","1−2⋅10",170,0.0503703703703704,82
"511","19","2+2+10+5",1,0.000296296296296296,82
"512","19","2+2+2+2+2+2+2+2+2+1",2,0.000592592592592593,82
"513","19","20−1",18,0.00533333333333333,82
"514","19","20−4+3",2,0.000592592592592593,82
"515","19","2⋅10−1",1,0.000296296296296296,82
"516","19","2⋅2+15",1,0.000296296296296296,82
"517","19","2⋅2+5+10",2,0.000592592592592593,82
"518","19","2⋅5+(2⋅5−1)",1,0.000296296296296296,82
"519","19","2⋅5+10−1",1,0.000296296296296296,82
"520","19","2⋅5+4+5",3,0.000888888888888889,82
"521","19","2⋅5+5+(1−5)",1,0.000296296296296296,82
"522","19","2⋅5+5+2+2",4,0.00118518518518519,82
"523","19","2⋅5+5+2⋅2",4,0.00118518518518519,82
