glottocode,Parameter_ID,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
east2387,twentyseven,kɔhi kale iŋ kasɔŋ kale,kohikaleingkasongkale,,FALSE,(10·{CL}2)+{+}5+2,,
east2387,twentyeight,kɔhi kale iŋ kasɔŋ katati,kohikaleingkasongkatati,,FALSE,(10·{CL}2)+{+}5+3,,
east2387,twentynine,kɔhi kale iŋ kasɔŋ kanaŋ,kohikaleingkasongkanang,,FALSE,(10·{CL}2)+{+}5+4,,
east2387,thirty,kɔhi katati,kohikatati,,FALSE,10·{CL}3,,
east2387,forty,kɔhi kanaŋ,kohikanang,,FALSE,10·{CL}4,,
east2387,fifty,kɔhi kasɔhi,kohikasohi,,FALSE,10·{CL}5,,
east2387,sixty,kɔhi kasɔŋ hante,kohikasonghante,,FALSE,10·({CL}5+1),,
east2387,seventy,kɔhi kasɔŋ kale,kohikasongkale,,FALSE,10·({CL}5+2),,
east2387,eighty,kɔhi kasɔŋ katati,kohikasongkatati,,FALSE,10·({CL}5+3),,
east2387,ninety,kɔhi kasɔŋ kanaŋ,kohikasongkanang,,FALSE,10·({CL}5+4),,
east2387,hundred,wuli wuntʰe,wuliwunthe,,FALSE,100·1’,,
east2387,twohundred,wuliŋ bilaŋ,wulingbilang,,FALSE,100·2’,,
east2387,thousand,wuliŋ kɔhi,wulingkohi,( 100 x 10 ),FALSE,100·10,,
east2387,twothousand,wuliŋ kɔhi kale,wulingkohikale,,FALSE,100·10·2,,
krim1238,one,yìmo̠,yimo,( o̠ = French ''au'' in ''aube''),FALSE,{CL}1,,
krim1238,two,yìɣɪn,yigin,,FALSE,{CL}2,,
krim1238,three,yìɣa,yiga,,FALSE,{CL}3,,
krim1238,four,yìhǐo̠n,yihion,,FALSE,{CL}4,,
krim1238,five,yìwɛn,yiwen,,FALSE,{CL}5,,
krim1238,six,nwɛn-mo̠,nwenmo,( 5 + 1 ),FALSE,5+1,,
krim1238,seven,nwɛn-ɣɪn,nwengin,( 5 + 2 ),FALSE,5+2,,
krim1238,eight,nwɛn-ɣa,nwenga,( 5 + 3 ),FALSE,5+3,,
krim1238,nine,nwɛn-hǐo̠n,nwenhion,( 5 + 4 ),FALSE,5+4,,
krim1238,ten,wāŋ,wang,,FALSE,10,,
krim1238,eleven,wāŋ nɛ̀ mo̠,wangnemo,,FALSE,10+{and}1,,
krim1238,twelve,wāŋ nɛ̀ ɣɪn,wangnegin,?,FALSE,10+{and}2,,
krim1238,thirteen,wāŋ nɛ̀ ɣa,wangnega,?,FALSE,10+{and}3,,
krim1238,fourteen,wāŋ nɛ̀ hǐo̠n,wangnehion,?,FALSE,10+{and}4,,
krim1238,fifteen,wāŋ nɛ̀ nwɛn,wangnenwen,,FALSE,10+{and}5,,
krim1238,sixteen,wāŋ nɛ̀ nwɛn-mo̠,wangnenwenmo,?,FALSE,10+{and}5+1,,
krim1238,seventeen,wāŋ nɛ̀ nwɛn-ɣɪn,wangnenwengin,?,FALSE,10+{and}5+2,,
krim1238,eighteen,wāŋ nɛ̀ nwɛn-ɣa,wangnenwenga,?,FALSE,10+{and}5+3,,
krim1238,nineteen,wāŋ nɛ̀ nwɛn-hǐo̠n,wangnenwenhion,?,FALSE,10+{and}5+4,,
krim1238,twenty,yìpia no̠,yipiano,,FALSE,20,,
krim1238,twentyone,yìpia no̠ nɛ̀ mo̠,yipianonemo,,FALSE,20+{and}1,,
krim1238,thirty,yìpia no̠ nɛ̀ wāŋ,yipianonewang,( 20 + 10 ),FALSE,20+{and}10,,
krim1238,forty,yìpia 'nin àɣɪn,yipianinagin,( 20 x  2 ),FALSE,20·{LIG}2,,
krim1238,fifty,yìpia 'nin àɣɪn nɛ̀ nɛ̀ wāŋ,yipianinaginnenewang,,FALSE,(20·{LIG}2)+{and}10,,
land1256,one,tɛ̀n,ten,,FALSE,1,,
land1256,two,mʌ̀rəŋ,mrang,,FALSE,{CL}2,,
land1256,three,mʌ̀sas,msas,,FALSE,{CL}3,,
land1256,four,mànkᵊlɛ,mankle,,FALSE,{CL}4,,
land1256,five,kəcàmət,kacamat,,FALSE,{CL’}5,,
land1256,six,kəcʌ̀ntin,kacntin,( 5 + 1 ),FALSE,5+1,,
land1256,seven,kəcʌ̀ntᵊ mʌ̀rəŋ,kacntmrang,( 5 + 2 ),FALSE,5+2,,
land1256,eight,kəcʌ̀ntᵊ̀ mʌ̀sas,kacntmsas,( 5 + 3 ),FALSE,5+3,,
land1256,nine,kəcʌ̀ntᵊ mànkᵊlɛ,kacntmankle,( 5 + 4 ),FALSE,5+4,,
land1256,ten,pù,pu,,FALSE,10,,
land1256,eleven,pù də tìn ʌ,pudatin,,FALSE,10+{and}1,,
land1256,twelve,pù də mʌ̀rəŋ ʌ,pudamrang,,FALSE,10+{and}2,,
land1256,thirteen,pù də mʌ̀sas ʌ,pudamsas,,FALSE,10+{and}3,,
land1256,fourteen,pù də mànkᵊlɛ ʌ,pudamankle,,FALSE,10+{and}4,,
land1256,fifteen,pù də kəcàmət ʌ,pudakacamat,,FALSE,10+{and}5,,
land1256,sixteen,pù də kəcʌ̀ntin ʌ,pudakacntin,,FALSE,10+{and}5+{and}1,,
land1256,seventeen,pù də kəcʌ̀ntᵊ mʌ̀rəŋ ʌ,pudakacntmrang,,FALSE,10+{and}5+{and}2,,
