Glottocode	Language_ID	Parameter_ID	Form	Gloss	Comments	Source	Coder
anga1293	anga1293-1	32	moklaopuhorkap			Barlowpacific	EAT
anga1293	anga1293-1	33	halanpunpombor			Barlowpacific	EAT
anga1293	anga1293-1	34	halanpunkap			Barlowpacific	EAT
anga1293	anga1293-1	35	halanpuntep			Barlowpacific	EAT
anga1293	anga1293-1	36	tuhalanpu			Barlowpacific	EAT
anga1293	anga1293-1	37	kompunpombor			Barlowpacific	EAT
anga1293	anga1293-1	38	kompunkap			Barlowpacific	EAT
anga1293	anga1293-1	39	kompuntep			Barlowpacific	EAT
anga1293	anga1293-1	40	tukompu			Barlowpacific	EAT
anga1293	anga1293-1	40	supuhorkap			Barlowpacific	EAT
anga1293	anga1293-1	41	espuapunpombor			Barlowpacific	EAT
anga1293	anga1293-1	42	espuapunkap			Barlowpacific	EAT
anga1293	anga1293-1	43	espuapuntep			Barlowpacific	EAT
anga1293	anga1293-1	44	tuespuapu			Barlowpacific	EAT
anga1293	anga1293-1	45	eikenpunpombor			Barlowpacific	EAT
anga1293	anga1293-1	46	eikenpunkap			Barlowpacific	EAT
anga1293	anga1293-1	47	eikenpuntep			Barlowpacific	EAT
anga1293	anga1293-1	48	tueikenpu			Barlowpacific	EAT
anga1293	anga1293-1	48	moklaopuhortep			Barlowpacific	EAT
anga1293	anga1293-1	48	towapuhorkap			Barlowpacific	EAT
anga1293	anga1293-1	56	kerepuhorkap			Barlowpacific	EAT
anga1293	anga1293-1	60	supuhortep			Barlowpacific	EAT
anga1293	anga1293-1	64	moklaopuhormal			Barlowpacific	EAT
anga1293	anga1293-1	72	towapuhortep			Barlowpacific	EAT
anga1293	anga1293-1	80	supuhormal			Barlowpacific	EAT
anga1293	anga1293-1	80	moklaopuhorsu			Barlowpacific	EAT
anga1293	anga1293-1	100	supuhorsu			Barlowpacific	EAT
ende1246	ende1246-1	1	saʔəsa	1		Channumerals	EAT
ende1246	ende1246-1	2	əsa rua	{LIG}2		Channumerals	EAT
ende1246	ende1246-1	3	əsa təlu	{LIG}3		Channumerals	EAT
ende1246	ende1246-1	4	əsa ʋutu	{LIG}4		Channumerals	EAT
ende1246	ende1246-1	5	əsa lima	{LIG}5		Channumerals	EAT
ende1246	ende1246-1	6	əsa lima əsa	{LIG}5+1		Channumerals	EAT
ende1246	ende1246-1	7	əsa lima rua	{LIG}5+2		Channumerals	EAT
ende1246	ende1246-1	8	əsa rua mbutu	2·4		Channumerals	EAT
ende1246	ende1246-1	9	əsa təra əsa	x-1		Channumerals	EAT
ende1246	ende1246-1	10	əsa sambulu	10		Channumerals	EAT
ende1246	ende1246-1	11	sambulu saʔəsa	10+1		Channumerals	EAT
ende1246	ende1246-1	12	sambulu əsə rua	10+2		Channumerals	EAT
ende1246	ende1246-1	13	sambulu əsə təlu	10+3		Channumerals	EAT
ende1246	ende1246-1	14	sambulu əsə ʋutu	10+4		Channumerals	EAT
ende1246	ende1246-1	15	sambulu əsə lima	10+5			EAT
ende1246	ende1246-1	16	sambulu əsə lima əsa	10+5+1		Channumerals	EAT
ende1246	ende1246-1	17	sambulu əsə lima rua	10+5+2		Channumerals	EAT
ende1246	ende1246-1	18	sambulu əsə lima rua mbutu	10+(2·4)		Channumerals	EAT
ende1246	ende1246-1	19	sambulu əsə əsa təra əsa	10+(10-1)		Channumerals	EAT
ende1246	ende1246-1	20	əsa mbulu rua	10·2		Channumerals	EAT
ende1246	ende1246-1	21	mbulu rua saʔəsa	(10·2)+1		Channumerals	EAT
ende1246	ende1246-1	22	mbulu rua əsa rua	(10·2)+2		Channumerals	EAT
ende1246	ende1246-1	23	mbulu rua əsa təlu	(10·2)+3		Channumerals	EAT
ende1246	ende1246-1	24	mbulu rua əsa ʋutu	(10·2)+4		Channumerals	EAT
ende1246	ende1246-1	25	mbulu rua əsa lima	(10·2)+5		Channumerals	EAT
ende1246	ende1246-1	26	mbulu rua əsa lima əsa	(10·2)+5+1		Channumerals	EAT
ende1246	ende1246-1	27	mbulu rua əsa lima rua	(10·2)+5+2		Channumerals	EAT
ende1246	ende1246-1	28	mbulu rua əsa rua mbutu	(10·2)+(2·4)		Channumerals	EAT
ende1246	ende1246-1	29	mbulu rua əsa təra əsa	(10·2)+(10-1)		Channumerals	EAT
ende1246	ende1246-1	30	mbulu təlu	10·3		Channumerals	EAT
ende1246	ende1246-1	40	mbulu ʋutu	10·4		Channumerals	EAT
ende1246	ende1246-1	50	mbulu lima	10·5		Channumerals	EAT
ende1246	ende1246-1	60	mbulu lima əsa	(10·5)+1		Channumerals	EAT
ende1246	ende1246-1	70	mbulu lima rua	(10·5)+2		Channumerals	EAT
ende1246	ende1246-1	80	mbulu rua mbutu	(10·5)+(2·4)		Channumerals	EAT
ende1246	ende1246-1	90	mbulu təra əsa	(10·5)+(10-1)		Channumerals	EAT
ende1246	ende1246-1	100	sa ŋasu	100		Channumerals	EAT
ende1246	ende1246-1	200	ŋasu rua	100·2		Channumerals	EAT
ende1246	ende1246-1	1000	sa riʋu	1000		Channumerals	EAT
ende1246	ende1246-1	2000	riʋu rua	1000·2		Channumerals	EAT
ende1246	ende1246-2	1	(sə)əsa	1		Channumerals	EAT
ende1246	ende1246-2	2	rua	2		Channumerals	EAT
ende1246	ende1246-2	3	təlu	3		Channumerals	EAT
ende1246	ende1246-2	4	sutu	4		Channumerals	EAT
ende1246	ende1246-2	5	lima	5		Channumerals	EAT
ende1246	ende1246-2	6	lima əsa	5+1		Channumerals	EAT
ende1246	ende1246-2	7	lima rua	5+2		Channumerals	EAT
ende1246	ende1246-2	8	rua mbutu	2·4		Channumerals	EAT
ende1246	ende1246-2	9	təra əsa	[10]-{LIG}1		Channumerals	EAT
ende1246	ende1246-2	10	mbulu	10		Channumerals	EAT
ende1246	ende1246-2	11	səmbulu sə əsa	10+1		Channumerals	EAT
ende1246	ende1246-2	12	səmbulu əsə rua	10+2		Channumerals	EAT
ende1246	ende1246-2	13	səmbulu əsə təlu	10+3		Channumerals	EAT
ende1246	ende1246-2	14	səmbulu əsə sutu	10+4		Channumerals	EAT
ende1246	ende1246-2	15	səmbulu əsə lima	10+5		Channumerals	EAT
ende1246	ende1246-2	16	səmbulu əsə lima əsa	10+5+1		Channumerals	EAT
ende1246	ende1246-2	17	səmbulu əsə lima rua	10+5+2		Channumerals	EAT
ende1246	ende1246-2	18	səmbulu əsə lima rua mbutu	10+(2·4)		Channumerals	EAT
ende1246	ende1246-2	19	səmbulu əsə lima təra əsa	10+(10-1)		Channumerals	EAT
ende1246	ende1246-2	20	mbulu rua	10·2		Channumerals	EAT
ende1246	ende1246-2	21	mbulu rua sə əsa	(10·2)+1		Channumerals	EAT
ende1246	ende1246-2	22	mbulu rua əsa rua	(10·2)+2		Channumerals	EAT
ende1246	ende1246-2	23	mbulu rua əsa təlu	(10·2)+3		Channumerals	EAT
ende1246	ende1246-2	24	mbulu rua əsa sutu	(10·2)+4		Channumerals	EAT
ende1246	ende1246-2	25	mbulu rua əsa lima	(10·2)+5		Channumerals	EAT
ende1246	ende1246-2	26	mbulu rua əsa lima əsa	(10·2)+5+1		Channumerals	EAT
ende1246	ende1246-2	27	mbulu rua əsa lima rua	(10·2)+5+2		Channumerals	EAT
ende1246	ende1246-2	28	mbulu rua əsa rua mbutu	(10·2)+(2·4)		Channumerals	EAT
ende1246	ende1246-2	29	mbulu rua əsa təra əsa	(10·2)+(10-1)		Channumerals	EAT
ende1246	ende1246-2	30	mbulu təlu	10·3		Channumerals	EAT
ende1246	ende1246-2	40	mbulu sutu	10·4		Channumerals	EAT
ende1246	ende1246-2	50	mbulu lima	10·5		Channumerals	EAT
ende1246	ende1246-2	60	mbulu lima əsa	(10·5)+1		Channumerals	EAT
ende1246	ende1246-2	70	mbulu lima rua	(10·5)+2		Channumerals	EAT
ende1246	ende1246-2	80	mbulu rua mbutu	(10·5)+(2·4)		Channumerals	EAT
ende1246	ende1246-2	90	mbulu təra əsa	(10·5)+(10-1)		Channumerals	EAT
ende1246	ende1246-2	100	(sə)ŋasu	100		Channumerals	EAT
ende1246	ende1246-2	200	ŋasu rua	100·2		Channumerals	EAT
ende1246	ende1246-2	1000	(sə)riwu	1000		Channumerals	EAT
ende1246	ende1246-2	2000	riwu rua	1000·2		Channumerals	EAT
nara1263	nara1263-1	1	mate	1		Channumerals	EAT
nara1263	nara1263-1	2	mo rua	{CLF}2	how can one distinguish classifiers from ligatures?	Channumerals	EAT
nara1263	nara1263-1	3	mo tol	{CLF}3		Channumerals	EAT
nara1263	nara1263-1	4	mo fat	{CLF}4		Channumerals	EAT
nara1263	nara1263-1	5	mo lima	{CLF}5		Channumerals	EAT
nara1263	nara1263-1	6	mo lima-raf	{CLF}5[+][1]		Channumerals	EAT
nara1263	nara1263-1	7	mo raf-rua	{CLF}[5][+]2		Channumerals	EAT
nara1263	nara1263-1	8	mo raf-tolu	{CLF}[5][+]3'		Channumerals	EAT
nara1263	nara1263-1	9	mo rapat	{CLF}5'+4'		Channumerals	EAT
nara1263	nara1263-1	10	mo sanaful	10		Channumerals	EAT
nara1263	nara1263-1	11	mo sanaful roman-mate	{CLF}10+{LIG}1		Channumerals	EAT
nara1263	nara1263-1	12	mo sanaful roman-rua	{CLF}10+{LIG}2		Channumerals	EAT
nara1263	nara1263-1	13	mo sanaful roman-tol	{CLF}10+{LIG}3		Channumerals	EAT
nara1263	nara1263-1	14	mo sanaful roman-fat	{CLF}10+{LIG}4		Channumerals	EAT
nara1263	nara1263-1	15	mo sanaful roman-lima	{CLF}10+{LIG}5		Channumerals	EAT
nara1263	nara1263-1	16	mo sanaful roman-lima-raf	{CLF}10+{LIG}5[+][1]		Channumerals	EAT
nara1263	nara1263-1	17	mo sanaful roman-raf-rua	{CLF}10+{LIG}[5][+]2		Channumerals	EAT
nara1263	nara1263-1	18	mo sanaful roman-raf-tol	{CLF}10+{LIG}[5][+]3'		Channumerals	EAT
nara1263	nara1263-1	19	mo sanaful roman-rapat	{CLF}10+{LIG}5'+4'		Channumerals	EAT
nara1263	nara1263-1	20	mo naful rua	{CLF}10[·]2		Channumerals	EAT
nara1263	nara1263-1	21	mo naful rua romon-mate	{CLF}(10[·]2)+{LIG}1		Channumerals	EAT
nara1263	nara1263-1	22	mo naful rua romon-rua	{CLF}(10[·]2)+{LIG}2		Channumerals	EAT
nara1263	nara1263-1	23	mo naful rua romon-tol	{CLF}(10[·]2)+{LIG}3		Channumerals	EAT
nara1263	nara1263-1	24	mo naful rua romon-fat	{CLF}(10[·]2)+{LIG}4		Channumerals	EAT
nara1263	nara1263-1	25	mo naful rua romon-lima	{CLF}(10[·]2)+{LIG}5		Channumerals	EAT
nara1263	nara1263-1	26	mo naful rua romon-lima-raf	{CLF}(10[·]2)+{LIG}5[+][1]		Channumerals	EAT
nara1263	nara1263-1	27	mo naful rua romon-raf-rua	{CLF}(10[·]2)+{LIG}[5][+]2		Channumerals	EAT
nara1263	nara1263-1	28	mo naful rua romon-raf-tol	{CLF}(10[·]2)+{LIG}[5][+]3'		Channumerals	EAT
nara1263	nara1263-1	29	mo naful rua romon-rapat	{CLF}(10[·]2)+{LIG}5'+4'		Channumerals	EAT
nara1263	nara1263-1	30	mo naful tol	10[·]3		Channumerals	EAT
nara1263	nara1263-1	40	mo naful fat	10[·]4		Channumerals	EAT
nara1263	nara1263-1	50	mo naful lima	10[·]5		Channumerals	EAT
nara1263	nara1263-1	60	mo naful lima-raf	10[·](5+1)		Channumerals	EAT
nara1263	nara1263-1	70	mo naful raf-rua	10[·](5+2)		Channumerals	EAT
nara1263	nara1263-1	80	mo naful raf-tol	10[·](5+3)		Channumerals	EAT
nara1263	nara1263-1	90	mo naful rapat	10[·](5+4)		Channumerals	EAT
nara1263	nara1263-1	100	mo laful mate	100[·]1		Channumerals	EAT
nara1263	nara1263-1	200	mo laful mo rua	100[·]{CLF}2		Channumerals	EAT
nara1263	nara1263-1	1000	tau mate	1000[·]1		Channumerals	EAT
nara1263	nara1263-1	2000	tau mo rua	1000[·]{CLF}2		Channumerals	EAT
edec1238	edec1238-1	1	oke	1		Channumerals	EAT
edec1238	edec1238-1	2	medzi	{CL}2		Channumerals	EAT
edec1238	edec1238-1	3	meta	{CL}3		Channumerals	EAT
edec1238	edec1238-1	4	mehe	{CL}4		Channumerals	EAT
edec1238	edec1238-1	5	mehu	{CL}5		Channumerals	EAT
edec1238	edec1238-1	6	mefa	{CL}6		Channumerals	EAT
edec1238	edec1238-1	7	medze	{CL}7		Channumerals	EAT
edec1238	edec1238-1	8	medzo	{CL}8		Channumerals	EAT
edec1238	edec1238-1	9	mese	{CL}9		Channumerals	EAT
edec1238	edec1238-1	10	mewa	{CL}10		Channumerals	EAT
edec1238	edec1238-1	11	mokola	{CL}1+10		Channumerals	EAT
edec1238	edec1238-1	12	medzila	{CL}2+10		Channumerals	EAT
edec1238	edec1238-1	13	metala	{CL}3+10		Channumerals	EAT
edec1238	edec1238-1	14	mehela	{CL}4+10		Channumerals	EAT
edec1238	edec1238-1	15	medogu	15		Channumerals	EAT
edec1238	edec1238-1	16	mehedidogu	{CL}4-20		Channumerals	EAT
edec1238	edec1238-1	17	metadidogu	{CL}3-20		Channumerals	EAT
edec1238	edec1238-1	18	medzididogu	{CL}2-20		Channumerals	EAT
edec1238	edec1238-1	19	mokedidogu	{CL}1-20		Channumerals	EAT
edec1238	edec1238-1	20	ogu	20		Channumerals	EAT
edec1238	edec1238-1	21	mokelelogu	{CL}1+20		Channumerals	EAT
edec1238	edec1238-1	22	medzilelogu	{CL}2+20		Channumerals	EAT
edec1238	edec1238-1	23	metalelogu	{CL}3+20		Channumerals	EAT
edec1238	edec1238-1	24	mehelelogu	{CL}4+20		Channumerals	EAT
edec1238	edec1238-1	25	medogbo	{CL}25		Channumerals	EAT
edec1238	edec1238-1	26	mehedidogbo	{CL}4-30		Channumerals	EAT
edec1238	edec1238-1	27	metadidogbo	{CL}3-30		Channumerals	EAT
edec1238	edec1238-1	28	medzididogbo	{CL}2-30		Channumerals	EAT
edec1238	edec1238-1	29	mokedidogbo	{CL}1-30		Channumerals	EAT
edec1238	edec1238-1	30	ogbo	30		Channumerals	EAT
edec1238	edec1238-1	40	ogodzi	30·2		Channumerals	EAT
